ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
BIAE,small_airport,Arngerðareyri Airport,20,EU,IS,IS-4,Arngerðareyri,,,BIAE,,"65.90470123291016, -22.363300323486328"
BIAL,small_airport,Álftaver Airport,160,EU,IS,IS-8,Álftaver,,,BIAL,,"63.53979, -18.44374"
BIAR,medium_airport,Akureyri Airport,6,EU,IS,IS-6,Akureyri,BIAR,AEY,BIAR,,"65.656573, -18.072018"
BIBA,small_airport,Bakki Airport,45,EU,IS,IS-8,Bakki,,,BIBA,,"63.556099, -20.137501"
BIBD,small_airport,Bildudalur Airport,18,EU,IS,IS-4,Bildudalur,BIBD,BIU,BIBD,,"65.641296, -23.5462"
BIBF,small_airport,Borgarfjörður eystri Airport,80,EU,IS,IS-7,Borgarfjörður eystri,BIBF,BGJ,BIBF,,"65.516769, -13.81578"
BIBI,small_airport,Baeir Airport,60,EU,IS,IS-4,Baeir,,,BIBI,,"66.097838, -22.569713"
BIBK,small_airport,Bakkafjörður Airport,14,EU,IS,IS-6,Bakkafjörður,BIBK,BJD,BIBK,,"66.02189636230469, -14.824399948120117"
BIBL,small_airport,Blönduós Airport,131,EU,IS,IS-5,Blönduós,BIBL,BLO,BIBL,,"65.644997, -20.2875"
BIBR,small_airport,Búðardalur Airport,131,EU,IS,IS-3,Búðardalur,,BQD,BIBR,,"65.07530212402344, -21.80030059814453"
BIBV,small_airport,Breiðdalsvík Airport,8,EU,IS,IS-7,Breiðdalsvík,BIBV,BXV,BIBV,,"64.790037, -14.043927"
BIDA,small_airport,Dagverðará Airport,130,EU,IS,IS-3,Dagverðará,,,BIDA,,"64.744617, -23.726521"
BIDV,small_airport,Djúpivogur Airport,9,EU,IS,IS-7,Djúpivogur,BIDV,DJU,BIDV,,"64.642372, -14.277297"
BIEG,medium_airport,Egilsstaðir Airport,76,EU,IS,IS-7,Egilsstaðir,BIEG,EGS,BIEG,,"65.2833023071289, -14.401399612426758"
BIFF,small_airport,Fáskrúðsfjörður Airport,15,EU,IS,IS-7,Fáskrúðsfjörður,BIFF,FAS,BIFF,,"64.931456, -14.047957"
BIFL,small_airport,Flúðir Airport,270,EU,IS,IS-8,Flúðir,,,BIFL,,"64.1427993774414, -20.326099395751953"
BIFM,small_airport,Fagurhólsmýri Airport,56,EU,IS,IS-7,Fagurhólsmýri,BIFM,FAG,BIFM,,"63.874699, -16.6411"
BIFZ,small_airport,Forsæti Airport,32,EU,IS,IS-8,Forsæti,,,BIFZ,,"63.84816, -20.716267"
BIGF,small_airport,Grundarfjörður Airport,17,EU,IS,IS-3,Grundarfjörður,BIGF,GUU,BIGF,,"64.991402, -23.224701"
BIGH,small_airport,Gunnarsholt Airport,200,EU,IS,IS-8,Gunnarsholt,,,BIGH,,"63.85329818725586, -20.262800216674805"
